,id,price,longitude,latitude
1543,1544,55402,116.674125,39.888622999999995
2737,2738,75309,116.37602700000001,39.843728999999996
1641,1642,52192,116.675771,39.903665000000004
2316,2317,36290,116.659056,40.14159
2382,2383,79016,116.447251,39.973301
425,426,54729,116.33843300000001,40.051503000000004
2652,2653,51641,116.19629199999999,39.931247
1008,1009,88711,116.286376,39.959534999999995
2666,2667,41700,116.23938600000001,40.222198999999996
2227,2228,125455,116.395214,39.88381
1478,1479,61789,116.59246999999999,39.926531
2495,2496,85590,116.489254,40.006445
107,108,55758,116.276504,39.888721999999994
1781,1782,120083,116.32677,39.943681
1107,1108,66133,116.504346,39.881279
2540,2541,42429,116.43547099999999,40.109315
2572,2573,77267,116.458573,39.905491999999995
1088,1089,104816,116.347797,39.976432
374,375,46078,116.359156,40.079209000000006
387,388,54220,116.651623,39.894471
402,403,48969,116.45296699999999,39.818019
1244,1245,105488,116.32648799999998,39.93595
1975,1976,75908,116.330146,40.039456
212,213,56176,116.324073,40.082161
1891,1892,64400,116.42537,40.052808
1441,1442,51717,116.33533200000001,40.067075
128,129,32367,116.43268400000001,40.077562
664,665,52865,116.339906,39.781801
2032,2033,104809,116.348041,39.932646000000005
2836,2837,49078,116.415343,40.075533
892,893,67799,116.414452,39.866869
1425,1426,52063,116.34663,40.096608
70,71,49902,116.68461,39.911076
361,362,61657,116.49947900000001,39.928739
1980,1981,51357,116.293798,39.82362
821,822,65315,116.47773000000001,40.002156
1123,1124,84986,116.46859199999999,40.028148
1792,1793,36664,116.66014399999999,40.120667
1082,1083,54544,116.513625,39.931024
721,722,81174,116.27942900000001,40.037637
1617,1618,73279,116.45320600000001,39.965662
1981,1982,45738,116.42350400000001,40.083027
2555,2556,90776,116.441781,39.991956
2278,2279,56037,116.42058999999999,40.038368
2585,2586,57252,116.694847,39.921775
1453,1454,40778,116.703713,39.95821
1818,1819,38562,116.683117,40.127185
222,223,49497,116.34211699999999,40.089417
2523,2524,71918,116.22028300000001,40.043636
1457,1458,50715,116.387828,39.852874
2715,2716,50589,116.53026799999999,39.931226
760,761,54770,116.170097,40.073984
344,345,69930,116.45669699999999,39.922284000000005
225,226,63830,116.42537,40.052808
75,76,90641,116.474112,39.997308000000004
480,481,47985,116.415343,40.075533
2166,2167,98203,116.35881,39.905008
1935,1936,108131,116.28549,39.944499
851,852,59413,116.47206399999999,39.887679999999996
1484,1485,64477,116.27292800000001,39.885267
23,24,50730,116.221549,39.905466
2387,2388,35593,116.421727,40.130641
1908,1909,45231,116.409906,40.064434999999996
2141,2142,75038,116.41123400000001,39.976721999999995
1910,1911,92334,116.308494,39.968148
291,292,92112,116.464603,39.905054
98,99,68732,116.32844899999999,39.849606
1624,1625,65987,116.482231,40.009521
1972,1973,45992,116.311776,40.084907
2373,2374,70799,116.33448500000002,39.890374
2610,2611,70884,116.376524,39.851605
696,697,36898,116.17041,39.767123
2395,2396,52243,116.51683600000001,39.906378000000004
2484,2485,46134,116.49503700000001,39.806319
2272,2273,67470,116.330146,40.039456
1879,1880,65832,116.55196699999999,39.967123
32,33,108315,116.442531,39.89667
2702,2703,120000,116.36298799999999,39.919548999999996
842,843,42986,116.66703799999999,39.942451
1295,1296,64191,116.48166200000001,39.878749
684,685,83321,116.446047,39.964131
901,902,56443,116.32309099999999,39.888033
1932,1933,97308,116.529599,39.950025
2746,2747,34846,116.416156,40.082584999999995
1940,1941,42414,116.442002,39.811582
2317,2318,94540,116.476447,39.903804
377,378,56662,116.31803500000001,39.857355
1968,1969,75732,116.471849,39.89331
2670,2671,62959,116.428173,39.993677000000005
1131,1132,93409,116.353071,39.880569
1175,1176,69915,116.426125,39.969678
2021,2022,39189,116.41917,40.124757
323,324,59809,116.483888,40.004498999999996
2407,2408,75276,116.44653400000001,39.959314
1775,1776,94361,116.441781,39.991956
79,80,84357,116.490525,39.97146
1928,1929,27179,116.85037,39.963617
2329,2330,51067,116.313915,39.842864
2254,2255,79444,116.404579,39.978491
1093,1094,73125,116.463907,40.007017
560,561,112016,116.351134,39.914348
492,493,106654,116.46549099999999,39.901678000000004
882,883,44009,116.658604,39.953468
2115,2116,39616,116.414419,40.053455
1762,1763,73801,116.330146,40.039456
2886,2887,50896,116.172207,39.934402
